From	To	Species	Gene Name
22590	ENSMUSG00000028329	Mus musculus	xeroderma pigmentosum, complementation group A(Xpa)
22591	ENSMUSG00000030094	Mus musculus	xeroderma pigmentosum, complementation group C(Xpc)
209200	ENSMUSG00000049502	Mus musculus	deltex 3-like, E3 ubiquitin ligase(Dtx3l)
22599	ENSMUSG00000025243	Mus musculus	solute carrier family 6 (neurotransmitter transporter), member 20B(Slc6a20b)
22598	ENSMUSG00000021612	Mus musculus	solute carrier family 6 (neurotransmitter transporter), member 18(Slc6a18)
100504285	ENSMUSG00000090121	Mus musculus	abhydrolase domain containing 12B(Abhd12b)
22594	ENSMUSG00000051768	Mus musculus	X-ray repair complementing defective repair in Chinese hamster cells 1(Xrcc1)
209232	ENSMUSG00000040154	Mus musculus	WAP four-disulfide core domain 5(Wfdc5)
214575	ENSMUSG00000060985	Mus musculus	tudor domain containing 5(Tdrd5)
214572	ENSMUSG00000060098	Mus musculus	protein arginine N-methyltransferase 7(Prmt7)
209239	ENSMUSG00000052557	Mus musculus	giant axonal neuropathy(Gan)
326618	ENSMUSG00000031799	Mus musculus	tropomyosin 4(Tpm4)
208501	ENSMUSG00000078572	Mus musculus	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex assembly factor 8(Ndufaf8)
326622	ENSMUSG00000043241	Mus musculus	UPF2 regulator of nonsense transcripts homolog (yeast)(Upf2)
63986	ENSMUSG00000060791	Mus musculus	glia maturation factor, gamma(Gmfg)
63985	ENSMUSG00000062014	Mus musculus	glia maturation factor, beta(Gmfb)
214568	ENSMUSG00000071015	Mus musculus	predicted gene 136(Gm136)
22589	ENSMUSG00000031229	Mus musculus	alpha thalassemia/mental retardation syndrome X-linked(Atrx)
214585	ENSMUSG00000033396	Mus musculus	spastic paraplegia 11(Spg11)
214580	ENSMUSG00000063179	Mus musculus	phosphoseryl-tRNA kinase(Pstk)
326623	ENSMUSG00000050395	Mus musculus	tumor necrosis factor (ligand) superfamily, member 15(Tnfsf15)
209225	ENSMUSG00000048897	Mus musculus	zinc finger protein 710(Zfp710)
209224	ENSMUSG00000031109	Mus musculus	ecto-NOX disulfide-thiol exchanger 2(Enox2)
106581	ENSMUSG00000024187	Mus musculus	family with sequence similarity 234, member A(Fam234a)
63993	ENSMUSG00000023945	Mus musculus	solute carrier family 5 (choline transporter), member 7(Slc5a7)
106585	ENSMUSG00000034647	Mus musculus	ankyrin repeat domain 12(Ankrd12)
106582	ENSMUSG00000059791	Mus musculus	nurim (nuclear envelope membrane protein)(Nrm)
214579	ENSMUSG00000035936	Mus musculus	aldhehyde dehydrogenase family 5, subfamily A1(Aldh5a1)
218793	ENSMUSG00000058317	Mus musculus	ubiquitin-conjugating enzyme E2E 2(Ube2e2)
100702	ENSMUSG00000104713	Mus musculus	guanylate binding protein 6(Gbp6)
100702	ENSMUSG00000079362	Mus musculus	guanylate binding protein 6(Gbp6)
100705	ENSMUSG00000042010	Mus musculus	acetyl-Coenzyme A carboxylase beta(Acacb)
214505	ENSMUSG00000035521	Mus musculus	N-acetylglucosamine-1-phosphotransferase, gamma subunit(Gnptg)
106572	ENSMUSG00000056515	Mus musculus	RAB31, member RAS oncogene family(Rab31)
74490	ENSMUSG00000042918	Mus musculus	MEF2 activating motif and SAP domain containing transcriptional regulator(Mamstr)
106557	ENSMUSG00000101959	Mus musculus	lactate dehydrogenase A-like 6B(Ldhal6b)
106565	ENSMUSG00000047428	Mus musculus	delta-like 2 homolog (Drosophila)(Dlk2)
106564	ENSMUSG00000028636	Mus musculus	phosphopantothenoylcysteine synthetase(Ppcs)
68106	ENSMUSG00000017176	Mus musculus	5'-nucleotidase, cytosolic IIIB(Nt5c3b)
68107	ENSMUSG00000078653	Mus musculus	cyclin N-terminal domain containing 1(Cntd1)
74492	ENSMUSG00000054978	Mus musculus	kelch repeat and BTB (POZ) domain containing 13(Kbtbd13)
74493	ENSMUSG00000024811	Mus musculus	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2(Tnks2)
74498	ENSMUSG00000032513	Mus musculus	golgi reassembly stacking protein 1(Gorasp1)
74499	ENSMUSG00000001494	Mus musculus	sclerostin(Sost)
74480	ENSMUSG00000021838	Mus musculus	sterile alpha motif domain containing 4(Samd4)
214531	ENSMUSG00000037129	Mus musculus	transmembrane protease, serine 13(Tmprss13)
214523	ENSMUSG00000032091	Mus musculus	transmembrane protease, serine 4(Tmprss4)
74488	ENSMUSG00000052316	Mus musculus	leucine rich repeat containing 15(Lrrc15)
74485	ENSMUSG00000023084	Mus musculus	leucine rich repeat containing 71(Lrrc71)
74486	ENSMUSG00000040875	Mus musculus	oxysterol binding protein-like 10(Osbpl10)
74484	ENSMUSG00000095365	Mus musculus	RNA binding motif 31, Y-linked(Rbm31y)
74481	ENSMUSG00000039699	Mus musculus	basic leucine zipper transcription factor, ATF-like 2(Batf2)
74482	ENSMUSG00000065968	Mus musculus	interferon induced transmembrane protein 7(Ifitm7)
209268	ENSMUSG00000031111	Mus musculus	immunoglobulin superfamily, member 1(Igsf1)
74478	ENSMUSG00000071669	Mus musculus	sorting nexin 29(Snx29)
74479	ENSMUSG00000020876	Mus musculus	sorting nexin 11(Snx11)
333473	ENSMUSG00000059334	Mus musculus	zinc finger protein 36, C3H type-like 3(Zfp36l3)
74477	ENSMUSG00000020807	Mus musculus	RIKEN cDNA 4933427D14 gene(4933427D14Rik)
74470	ENSMUSG00000021572	Mus musculus	centrosomal protein 72(Cep72)
74472	ENSMUSG00000036770	Mus musculus	sperm tail PG rich repeat containing 3(Stpg3)
67419	ENSMUSG00000036242	Mus musculus	RIKEN cDNA 3632451O06 gene(3632451O06Rik)
74455	ENSMUSG00000026707	Mus musculus	NOL1/NOP2/Sun domain family member 6(Nsun6)
67418	ENSMUSG00000015757	Mus musculus	peptidylprolyl isomerase (cyclophilin)-like 4(Ppil4)
74454	ENSMUSG00000097407	Mus musculus	RIKEN cDNA 4933408J17 gene(4933408J17Rik)
67417	ENSMUSG00000030871	Mus musculus	glutamyl-tRNA synthetase 2, mitochondrial(Ears2)
74453	ENSMUSG00000035394	Mus musculus	cilia and flagella associated protein 53(Cfap53)
67416	ENSMUSG00000033436	Mus musculus	armadillo repeat containing, X-linked 2(Armcx2)
74451	ENSMUSG00000017715	Mus musculus	phosphatidylglycerophosphate synthase 1(Pgs1)
74450	ENSMUSG00000037514	Mus musculus	pantothenate kinase 2(Pank2)
76915	ENSMUSG00000033752	Mus musculus	meiotic nuclear divisions 1(Mnd1)
67410	ENSMUSG00000079093	Mus musculus	RIKEN cDNA 4930449I24 gene(4930449I24Rik)
76916	ENSMUSG00000002846	Mus musculus	translocase of inner mitochondrial membrane domain containing 1(Timmdc1)
68026	ENSMUSG00000040204	Mus musculus	RIKEN cDNA 2810417H13 gene(2810417H13Rik)
67414	ENSMUSG00000027668	Mus musculus	mitofusin 1(Mfn1)
68027	ENSMUSG00000024245	Mus musculus	transmembrane protein 178(Tmem178)
68024	ENSMUSG00000018102	Mus musculus	histone cluster 1, H2bc(Hist1h2bc)
67412	ENSMUSG00000038916	Mus musculus	SOGA family member 3(Soga3)
68021	ENSMUSG00000038286	Mus musculus	biphenyl hydrolase-like (serine hydrolase, breast epithelial mucin-associated antigen)(Bphl)
68020	ENSMUSG00000037787	Mus musculus	apoptogenic, mitochondrial 1(Apopt1)
106639	ENSMUSG00000054723	Mus musculus	vimentin-type intermediate filament associated coiled-coil protein(Vmac)
110651	ENSMUSG00000031309	Mus musculus	ribosomal protein S6 kinase polypeptide 3(Rps6ka3)
97998	ENSMUSG00000022419	Mus musculus	DEP domain containing MTOR-interacting protein(Deptor)
74464	ENSMUSG00000033948	Mus musculus	zinc finger SWIM-type containing 5(Zswim5)
67405	ENSMUSG00000019890	Mus musculus	neurotensin(Nts)
74463	ENSMUSG00000011263	Mus musculus	exocyst complex component 3-like 2(Exoc3l2)
211480	ENSMUSG00000058743	Mus musculus	potassium inwardly-rectifying channel, subfamily J, member 14(Kcnj14)
74466	ENSMUSG00000030877	Mus musculus	major facilitator superfamily domain containing 13B(Mfsd13b)
67407	ENSMUSG00000073001	Mus musculus	cylicin, basic protein of sperm head cytoskeleton 1(Cylc1)
211482	ENSMUSG00000023931	Mus musculus	EF hand domain family, member B(Efhb)
74460	ENSMUSG00000100127	Mus musculus	gasdermin C-like, pseudogene(Gsdmcl-ps)
211484	ENSMUSG00000060771	Mus musculus	testis specific 10(Tsga10)
68017	ENSMUSG00000029557	Mus musculus	mitochondrial rRNA methyltransferase 2(Mrm2)
76925	ENSMUSG00000042800	Mus musculus	RIKEN cDNA 1700015E13 gene(1700015E13Rik)
68018	ENSMUSG00000021669	Mus musculus	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein(Col4a3bp)
76927	ENSMUSG00000010538	Mus musculus	TSSK6 activating co-chaperone(Tsacc)
67402	ENSMUSG00000038709	Mus musculus	thioredoxin domain containing 8(Txndc8)
76920	ENSMUSG00000073380	Mus musculus	arrestin domain containing 5(Arrdc5)
74468	ENSMUSG00000029678	Mus musculus	hyaluronoglucosaminidase 5(Hyal5)
76921	ENSMUSG00000079346	Mus musculus	RIKEN cDNA 1700013D24 gene(1700013D24Rik)
74467	ENSMUSG00000020280	Mus musculus	pseudouridylate synthase 10(Pus10)
68014	ENSMUSG00000032400	Mus musculus	zwilch kinetochore protein(Zwilch)
68015	ENSMUSG00000005981	Mus musculus	TNF receptor-associated protein 1(Trap1)
74469	ENSMUSG00000009596	Mus musculus	TATA-box binding protein associated factor 7 like(Taf7l)
68016	ENSMUSG00000028348	Mus musculus	muscle-related coiled-coil protein(Murc)
68010	ENSMUSG00000024232	Mus musculus	BMP and activin membrane-bound inhibitor(Bambi)
106648	ENSMUSG00000073424	Mus musculus	cytochrome P450, family 4, subfamily f, polypeptide 15(Cyp4f15)
353346	ENSMUSG00000053101	Mus musculus	G protein-coupled receptor 141(Gpr141)
68011	ENSMUSG00000057278	Mus musculus	small nuclear ribonucleoprotein polypeptide G(Snrpg)
353344	ENSMUSG00000043972	Mus musculus	opsin 5(Opn5)
76917	ENSMUSG00000023911	Mus musculus	FLYWCH family member 2(Flywch2)
74430	ENSMUSG00000021747	Mus musculus	RIKEN cDNA 4930452B06 gene(4930452B06Rik)
74437	ENSMUSG00000045330	Mus musculus	RIKEN cDNA 4933402E13 gene(4933402E13Rik)
74435	ENSMUSG00000028182	Mus musculus	leucine-rich repeats and IQ motif containing 3(Lrriq3)
68002	ENSMUSG00000026154	Mus musculus	succinate dehydrogenase complex assembly factor 4(Sdhaf4)
74434	ENSMUSG00000027794	Mus musculus	spermatogenesis and oogenesis specific basic helix-loop-helix 2(Sohlh2)
227998	ENSMUSG00000053896	Mus musculus	RIKEN cDNA 4933409G03 gene(4933409G03Rik)
74438	ENSMUSG00000041216	Mus musculus	clavesin 1(Clvs1)
110637	ENSMUSG00000032017	Mus musculus	glutamate receptor, ionotropic, kainate 4(Grik4)
106618	ENSMUSG00000073434	Mus musculus	WD repeat domain 90(Wdr90)
68001	ENSMUSG00000022972	Mus musculus	RIKEN cDNA 1110004E09 gene(1110004E09Rik)
110639	ENSMUSG00000025742	Mus musculus	phosphoribosyl pyrophosphate synthetase 2(Prps2)
74440	ENSMUSG00000034390	Mus musculus	c-Maf inducing protein(Cmip)
74442	ENSMUSG00000050931	Mus musculus	sphingomyelin synthase 2(Sgms2)
74441	ENSMUSG00000026331	Mus musculus	solute carrier organic anion transporter family, member 6c1(Slco6c1)
74443	ENSMUSG00000006675	Mus musculus	prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)(P4htm)
74446	ENSMUSG00000050150	Mus musculus	solute carrier family 9, subfamily B (NHA1, cation proton antiporter 1), member 1(Slc9b1)
106633	ENSMUSG00000024169	Mus musculus	intraflagellar transport 140(Ift140)
76900	ENSMUSG00000070003	Mus musculus	single stranded DNA binding protein 4(Ssbp4)
74448	ENSMUSG00000052549	Mus musculus	ADP-ribosylation factor-like 13A(Arl13a)
76901	ENSMUSG00000020387	Mus musculus	jade family PHD finger 2(Jade2)
76905	ENSMUSG00000037095	Mus musculus	leucine-rich alpha-2-glycoprotein 1(Lrg1)
110648	ENSMUSG00000026686	Mus musculus	LIM homeobox transcription factor 1 alpha(Lmx1a)
353326	ENSMUSG00000085925	Mus musculus	retrotransposon-like 1(Rtl1)
353325	ENSMUSG00000071149	Mus musculus	taste receptor, type 2, member 115(Tas2r115)
353328	ENSMUSG00000048191	Mus musculus	mucin 6, gastric(Muc6)
114679	ENSMUSG00000075702	Mus musculus	selenoprotein M(Selm)
211499	ENSMUSG00000033808	Mus musculus	transmembrane protein 87A(Tmem87a)
114675	ENSMUSG00000074224	Mus musculus	RIKEN cDNA 4932431P20 gene(4932431P20Rik)
627821	ENSMUSG00000053367	Mus musculus	predicted gene 6792(Gm6792)
227933	ENSMUSG00000036641	Mus musculus	coiled-coil domain containing 148(Ccdc148)
74419	ENSMUSG00000025519	Mus musculus	transketolase-like 2(Tktl2)
74414	ENSMUSG00000028099	Mus musculus	polymerase (RNA) III (DNA directed) polypeptide C(Polr3c)
227937	ENSMUSG00000026991	Mus musculus	plakophilin 4(Pkp4)
74412	ENSMUSG00000019715	Mus musculus	GLE1 RNA export mediator (yeast)(Gle1)
74413	ENSMUSG00000021187	Mus musculus	tandem C2 domains, nuclear(Tc2n)
74410	ENSMUSG00000026885	Mus musculus	tubulin tyrosine ligase-like family, member 11(Ttll11)
74411	ENSMUSG00000040105	Mus musculus	phospholipid phosphatase 6(Plpp6)
110695	ENSMUSG00000053644	Mus musculus	aldehyde dehydrogenase family 7, member A1(Aldh7a1)
68066	ENSMUSG00000018677	Mus musculus	solute carrier family 25, member 39(Slc25a39)
68067	ENSMUSG00000020381	Mus musculus	RIKEN cDNA 3010026O09 gene(3010026O09Rik)
74409	ENSMUSG00000029679	Mus musculus	hyaluronoglucosaminidase 6(Hyal6)
74427	ENSMUSG00000021890	Mus musculus	ELL associated factor 1(Eaf1)
68058	ENSMUSG00000028089	Mus musculus	chromodomain helicase DNA binding protein 1-like(Chd1l)
74424	ENSMUSG00000030650	Mus musculus	transmembrane channel-like gene family 5(Tmc5)
214469	ENSMUSG00000037503	Mus musculus	family with sequence similarity 168, member B(Fam168b)
74426	ENSMUSG00000025961	Mus musculus	RIKEN cDNA 4933402D24 gene(4933402D24Rik)
68059	ENSMUSG00000025544	Mus musculus	transmembrane 9 superfamily member 2(Tm9sf2)
68053	ENSMUSG00000028243	Mus musculus	UBX domain protein 2B(Ubxn2b)
68054	ENSMUSG00000041567	Mus musculus	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12(Serpina12)
68055	ENSMUSG00000054894	Mus musculus	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit S(Atp5s)
68050	ENSMUSG00000023075	Mus musculus	akirin 1(Akirin1)
68051	ENSMUSG00000008450	Mus musculus	nuclear transport factor 2(Nutf2)
68052	ENSMUSG00000090862	Mus musculus	ribosomal protein S13(Rps13)
68048	ENSMUSG00000030609	Mus musculus	apoptosis enhancing nuclease(Aen)
68047	ENSMUSG00000003199	Mus musculus	MPN domain containing(Mpnd)
68046	ENSMUSG00000024273	Mus musculus	RIKEN cDNA 2700062C07 gene(2700062C07Rik)
226823	ENSMUSG00000026608	Mus musculus	potassium channel tetramerisation domain containing 3(Kctd3)
68040	ENSMUSG00000028840	Mus musculus	zinc finger protein 593(Zfp593)
68041	ENSMUSG00000008035	Mus musculus	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))(Mid1ip1)
226830	ENSMUSG00000026603	Mus musculus	SET and MYND domain containing 2(Smyd2)
227960	ENSMUSG00000026893	Mus musculus	grancalcin(Gca)
68044	ENSMUSG00000020309	Mus musculus	ChaC, cation transport regulator 2(Chac2)
68045	ENSMUSG00000021807	Mus musculus	RIKEN cDNA 2700060E02 gene(2700060E02Rik)
68043	ENSMUSG00000021951	Mus musculus	eukaryotic translation elongation factor 1 alpha lysine methyltransferase 1(Eef1akmt1)
74401	ENSMUSG00000027229	Mus musculus	telomere repeat binding bouquet formation protein 2(Terb2)
68036	ENSMUSG00000062397	Mus musculus	zinc finger protein 706(Zfp706)
68035	ENSMUSG00000036733	Mus musculus	RNA binding motif protein 42(Rbm42)
68038	ENSMUSG00000025512	Mus musculus	chitinase domain containing 1(Chid1)
214489	ENSMUSG00000067722	Mus musculus	cDNA sequence BC003965(BC003965)
74405	ENSMUSG00000025038	Mus musculus	EF-hand domain (C-terminal) containing 2(Efhc2)
68039	ENSMUSG00000025723	Mus musculus	neuromedin B(Nmb)
74407	ENSMUSG00000006784	Mus musculus	tetratricopeptide repeat domain 25(Ttc25)
